211089;652367;13081
211090;652361;15135
211093;651950;14474
211094;652390;15420
211095;652361;18
211096;652405;5260
211097;652408;830
211099;652408;13062
211102;652406;12511
211106;652405;2571
211110;651598;12587
211112;652361;13134
211114;652441;13777
211115;652390;15420
211116;652444;13064
211117;652361;14842
211118;652441;13778
211119;652448;13872
211121;652441;13779
211123;652361;15912
211124;652361;15908
211125;652451;13813
211128;652451;13076
211133;652451;2222
211135;652466;15947
211136;652473;10095
211137;652451;13077
211138;652475;2643
211139;652466;15636
211142;652484;15288
211149;652473;10095
211158;652547;6052
211159;652547;6052
211163;652557;13755
211167;652579;7996
211170;652390;15753
211171;652390;15075
211178;652634;15502
211179;652628;13842
211180;652636;13046
211181;652635;2826
211182;652631;13133
211184;652631;14474
211186;652534;14407
211187;652631;2193
211188;652534;14196
211189;652534;14071
211197;652674;13310
211198;652692;2858
211201;652704;1450
211205;652602;15604
211209;652740;12587
211212;652740;15753
211213;652755;15763
211214;652755;15763
211215;652740;14054
211218;652765;14334
211219;652765;2858
211222;652778;14054
211224;652778;15084
211225;652778;15749
211227;652804;3730
211228;652809;1033
211229;652814;15111
211230;652809;1038
211232;652831;13246
211233;652809;1056
211235;652843;14069
211241;652852;1881
211242;652843;18
211243;652809;1054
211244;652852;13244
211245;652852;13244
211246;652865;1364
211247;652852;13310
211248;652852;15315
211249;652852;15753
211251;652852;15315
211253;652852;15420
211254;652852;15420
211256;652852;14055
211258;652852;15947
211259;652883;13872
211260;652852;14054
211263;652852;15753
211265;652852;15772
211266;652852;14054
211267;652894;2614
211268;652852;14054
211269;652852;13235
211274;652906;13796
211276;652915;14067
211282;652902;3052
211283;652906;13796
211285;652915;2858
211288;652918;14968
211289;652918;14968
211291;652957;2899
211293;652975;15753
211295;652963;14334
211296;652975;13076
211297;652963;14071
211300;653012;15565
211302;653015;15753
211303;652969;1881
211304;653022;2700
211305;653022;14600
211306;653022;14334
211311;653022;15305
211314;653022;13064
211317;653051;12516
211325;652969;1881
211328;653060;1731
211332;653060;14869
211333;653060;14863
211336;653060;14859
211337;653091;13244
211339;653091;15111
211341;653099;12344
211342;653060;13763
211343;653101;14196
211344;653060;13845
211346;653105;3151
211348;653097;10903
211349;652969;1881
211355;653121;13244
211356;653127;1731
211357;653133;13310
211358;653121;13244
211359;653135;3051
211364;653146;13064
211365;653149;13776
211367;653012;3039
211368;653151;15373
211370;653022;13796
211371;653184;15410
211372;653143;10903
211373;653186;12587
211374;653194;1455
211375;653161;14334
211376;653198;2858
211379;653161;15373
211383;653204;15111
211384;653204;15111
211385;653207;15503
211386;653161;14071
211387;653214;12587
211389;653161;13796
211390;653161;13796
211392;653217;14474
211393;653207;15502
211395;653220;13873
211397;653161;14071
211398;653229;13796
211399;653224;13229
211401;653149;13777
211404;653224;2708
211405;653229;13796
211406;653149;13778
211409;653228;1881
211411;653224;15336
211412;653253;811
211413;653252;14842
211416;653253;15084
211418;653224;15263
211420;653260;13310
211421;653252;14967
211422;653252;15690
211423;652626;5030
211426;653277;4386
211427;653224;13813
211428;653224;13077
211429;653253;13490
211430;653224;15315
211433;653277;15556
211437;653300;14071
211438;653224;811
211439;653127;1731
211441;653304;15753
211442;653149;13779
211444;653303;1881
211445;653224;12587
211446;653277;15559
211447;653309;15753
211448;652905;1881
211450;653303;1881
211452;653342;12541
211454;653303;1881
211457;653340;14071
211458;653360;2712
211459;653318;14071
211462;653363;13796
211463;653340;14067
211469;653363;15646
211475;653399;1881
211476;653372;9395
211480;653426;15753
211481;653417;15459
211483;653426;13244
211485;653145;1881
211486;653458;2582
211487;653417;15459
211488;653458;2600
211489;653457;13806
211490;653417;13779
211491;653470;15111
211494;653452;15646
211495;653417;3740
211500;653471;2633
