75818	320519	15135
75820	320519	2015
75821	320519	15373
75822	320519	14889
75825	320538	14550
75826	320417	13077
75827	320494	824
75832	320573	14868
75833	320580	15706
75834	320580	15706
75836	320573	14868
75837	320605	2712
75838	320605	2858
75839	320605	3151
75843	320605	15373
75845	320605	14071
75846	320624	1881
75847	320633	4423
75848	320633	4421
75849	320633	15560
75850	320633	15563
75852	320647	14046
75853	320647	14699
75854	320647	15712
75855	320647	13346
75859	320650	15315
75861	320652	3009
75862	320651	14082
75863	320650	15039
75864	320650	15039
75865	320651	14086
75866	320637	14196
75869	320670	2383
75871	320637	15136
75872	320637	2416
75873	320637	18
75874	320676	2865
75880	320695	13081
75881	320676	14473
75882	320699	15280
75883	320705	13053
75885	320676	14473
75886	320705	2869
75887	320705	2869
75888	320705	2870
75889	320676	13542
75890	320705	3701
75891	320676	13053
75892	320676	13717
75893	320676	13717
75895	320676	13718
75896	320725	14026
75898	320725	2899
75900	320676	2867
75904	320762	14407
75909	320799	14227
75910	320802	1881
75912	320802	13310
75913	320817	2865
75914	320817	14477
75915	320822	15280
75916	320817	14474
75919	320817	2865
75921	320822	15388
75923	320844	2607
75925	320851	9992
75926	320862	13860
75928	320851	10005
75932	320867	10095
75933	320822	15388
75940	320893	3009
75941	320894	13872
75944	320839	13735
75945	320839	13735
75946	320904	15308
75950	320919	15802
75951	320605	14889
75952	320931	13873
75953	320912	13310
75957	320964	14334
75959	320964	14071
75960	320969	1881
75961	320962	2678
75964	320956	14025
75965	320987	1440
75966	320956	14025
75967	320987	1440
75968	320956	14033
75969	320956	14026
75972	320956	14029
75977	321030	15315
75978	321030	15636
75979	321030	15039
75980	321030	14668
75981	321030	15420
75982	321030	15418
75984	321003	1881
75986	321064	13133
75987	321064	2865
75993	321087	15084
75995	321087	15749
75997	321079	3051
75998	321092	13873
75999	321074	2614
76000	321092	13873
76001	321098	7344
76002	321092	13873
76003	321092	13872
76005	321102	14228
76007	321102	14229
76014	321143	14461
76015	321158	15111
76019	321143	13081
76020	321143	2815
76021	321143	3173
76024	321164	13733
76025	321203	1881
76026	321215	14645
76030	321225	14335
76034	321241	12516
76035	321251	14635
76036	321241	12511
76038	321241	12513
76039	321242	15753
76040	321251	2837
76041	321256	13064
76042	321251	2840
76043	321242	13813
76044	321251	13868
76045	321241	15795
76046	321241	13788
76047	321241	12974
76050	321241	12518
76051	321241	12517
76052	321278	2948
76053	321241	13921
76054	321278	13875
76055	321278	13938
76056	321241	3172
76057	321278	13873
76058	321278	13871
76059	321278	13872
76062	321294	7975
76064	321293	1881
76066	321166	1881
76067	321293	13813
76069	321301	13310
76070	321291	1881
76071	321241	12513
76072	321319	14071
76073	321312	15134
76074	321312	14071
76075	321307	14056
76076	321301	13738
76080	321325	15292
76081	321316	4068
76082	321362	1382
76083	321325	15294
76084	321363	13873
76086	321325	12521
76089	321370	13310
76091	321293	1881
76092	321305	13756
76094	321363	13872
76095	321325	2567
76096	321363	2163
76099	321405	3281
76101	321305	13612
76102	321361	2600
76104	321361	2582
76106	321404	14407
76107	321413	13077
76108	321325	15795
76109	321325	3172
76110	321404	15249
76111	321404	1500
76112	321425	14025
76115	321438	13853
76117	321442	2899
76118	321460	15271
76120	321467	15753
76121	321442	14026
76123	321460	15766
76124	321455	14480
76126	321442	14027
76127	321442	14025
76129	321528	15294
76130	321522	13244
76131	321522	13310
76133	321525	13395
76136	321553	10096
76138	321405	3281
76139	321405	3281
76140	321467	15634
76142	321572	15232
76143	321567	15228
76144	321478	15315
76147	321460	15766
76148	321594	15667
76150	321467	15753
76152	321607	2353
76153	321563	15803
76154	321604	14032
76155	321604	14032
76156	321606	13310
76157	321604	2899
76158	321606	12587
76159	321606	13244
76161	321606	15419
76162	321624	15374
76163	321467	474
76164	321604	14036
76165	321624	13062
76167	321636	10101
76168	321467	783
76170	321637	1881
76172	321327	12587
76173	321632	12587
76177	321653	1160
76179	321655	2600
76180	321299	14334
76181	321658	3186
76182	321658	3278
76183	321658	3278
76184	321658	3278
76185	321658	3278
76186	321658	12541
76187	321658	12541
76188	321658	15290
76189	321650	13408
76191	321645	13010
76193	321542	15692
76194	321299	13064
76195	321680	13872
76196	321615	13921
76197	321680	13938
76199	321680	13872
76200	321698	15637
76201	321680	2944
76202	321680	13874
76204	321680	13875
76205	321204	13244
76206	321718	2840
76208	321718	12700
76209	321663	1881
76211	321299	13796
76212	321718	2839
76213	321747	13244
76214	321204	13813
76215	321758	12587
76218	321758	12587
76220	321772	15374
76221	321747	14056
76223	321758	12587
76224	321663	13244
76226	321758	15420
76227	321796	13134
76228	321204	15072
76229	321663	1881
76232	321613	3279
76233	321613	3279
76239	321613	3279
76240	321613	3279
76242	321204	15232
76243	321849	15260
76245	321850	13796
76246	321839	3173
76249	321839	12516
76250	321839	15292
76251	321563	15803
76252	321849	3701
76254	321763	1881
76255	321883	13717
76256	321563	14573
76257	321563	15694
